指标英文,指标中文,数值,单位
pages,pages,"[{'page_number': 1, 'unit_hint': '元', 'tables': [{'table_name': '2024年关联交易预计', 'rows': [{'关联方': '中国贵州茅台酒厂（集团）有限责任公司', '关联交易内容': '商标使用权', '本期发生额': '2,466,052,249.25'}, {'关联方': '贵州茅台酒厂（集团）物流有限责任公司', '关联交易内容': '货物运输服务', '本期发生额': '242,909,426.03'}, {'关联方': '珠海经济特区龙狮瓶盖有限公司', '关联交易内容': '购买商品', '本期发生额': '392,724,190.99'}, {'关联方': '贵州省仁怀市申仁包装印务有限责任公司', '关联交易内容': '购买商品', '本期发生额': '311,692,891.52'}, {'关联方': '贵州茅台酒厂（集团）贵定晶琪玻璃制品有限公司', '关联交易内容': '购买商品', '本期发生额': '131,577,569.97'}, {'关联方': '贵州茅台酒厂(集团)循环经济产业投资开发有限公司', '关联交易内容': '购买商品', '本期发生额': '131,280,975.00'}, {'关联方': '贵州茅台物流园区粮食收储有限公司', '关联交易内容': '购买商品', '本期发生额': '159,164,224.07'}, {'关联方': '贵州茅台酒厂（集团）红缨子农业科技发展有限公司', '关联交易内容': '购买商品', '本期发生额': '91,571,319.20'}, {'关联方': '贵州新华羲玻璃有限责任公司', '关联交易内容': '购买商品', '本期发生额': '50,723,017.23'}, {'关联方': '贵州富明行包装有限公司', '关联交易内容': '购买商品', '本期发生额': '38,389,121.95'}, {'关联方': '中国贵州茅台酒厂（集团）文化旅游有限责任公司', '关联交易内容': '购买商品', '本期发生额': '25,126,546.60'}]}, {'table_name': '关联方往来款项', 'rows': [{'项目名称': '应收账款', '关联方': '巽风科技（贵州）有限公司', '期末余额': '17,823,889.10'}, {'项目名称': '其他应收款', '关联方': '贵州茅台酒厂(集团)贵阳高新置业投资发展有限公司', '期末余额': '334,328.84'}, {'项目名称': '其他应收款', '关联方': '贵州茅台酒厂(集团)保健酒业销售有限公司', '期末余额': '300,000.00'}, {'项目名称': '其他应收款', '关联方': '昌黎茅台葡萄酒经贸有限公司', '期末余额': '100,000.00'}, {'项目名称': '其他应收款', '关联方': '贵州茅台生态农业销售有限责任公司', '期末余额': '50,000.00'}, {'项目名称': '其他应收款', '关联方': '中国贵州茅台酒厂（集团）有限责任公司', '期末余额': '27,330.00'}]}]}]",
period,报告期间,未知期间,
scope,口径,unknown,
unit_standard,单位,亿元,
revenue,营业收入,1708.99,亿元
net_income,归母净利润,862.28,亿元
operating_cashflow,经营现金流,924.64,亿元
cfo_to_ni_ratio,CFO/净利润(%),107.23198960894373,%
